mean,std,max,min,ptp,rms,energy,abs_mean,argmax,argmin,fft_mean,fft_std,fft_max,fft_peak_bin,fft_energy,distance_cm,source_file,label
-3.3917236328125,580.4455969851365,3209.0,-3008.0,6217.0,580.4555063470694,2760119049.0,345.2933349609375,8.0,32.0,6408.950606643196,52138.90030284163,1610877.5324882073,173.0,11305833629221.0,12,l12.txt,laptop
-0.1783447265625,610.0223971336478,3330.0,-2995.0,6325.0,610.0224232038717,3048467307.0,372.8826904296875,16.0,40.0,8728.535347163084,54511.80093178759,1622826.459078959,173.0,12486524286237.002,12,l12.txt,laptop
-7.94775390625,571.4570926116212,3074.0,-3208.0,6282.0,571.5123581238478,2675723268.0,355.278076171875,39.0,16.0,9316.323776778925,50880.19006616969,1344880.0968391658,175.0,10961882519632.004,12,l12.txt,laptop
-4.8140869140625,621.4490220002873,3393.0,-3572.0,6965.0,621.4676680068961,3163931135.0,382.6429443359375,42.0,19.0,9225.864217231838,55481.82065355235,1597937.3783924412,173.0,12960240826729.0,12,l12.txt,laptop
-1.9927978515625,637.3842820234822,3126.0,-3188.0,6314.0,637.387397281957,3328103991.0,365.5157470703125,13.0,36.0,7615.444441830244,57178.049484456686,1820510.8102721868,173.0,13632047808252.998,12,l12.txt,laptop
-4.882080078125,905.5209245436012,3964.0,-3980.0,7944.0,905.5340852183243,6717374296.0,470.44287109375,7645.0,7622.0,13282.894213221867,80867.14600866592,1738905.716650208,175.0,27515167595546.004,13,l13.txt,laptop
-4.014892578125,864.7635869424942,3428.0,-3442.0,6870.0,864.7729069900736,6126241224.0,478.198486328125,7681.0,5.0,13659.379074236207,77060.3663438133,2097425.3893868444,171.0,25093628024625.996,13,l13.txt,laptop
-4.259521484375,803.4844281937087,3452.0,-3522.0,6974.0,803.4957186401474,5288799190.0,453.806640625,1.0,24.0,13442.06605658807,71463.0573788999,1676733.7908370215,175.0,21663533637090.004,13,l13.txt,laptop
-7.2198486328125,783.2536501044411,3226.0,-3376.0,6602.0,783.2869248341957,5026106627.0,445.6734619140625,41.0,18.0,11262.942306047666,69988.94949771851,1809080.2415061027,175.0,20588682456089.0,13,l13.txt,laptop
-1.0211181640625,809.0707840551655,3234.0,-3258.0,6492.0,809.0714284251702,5362455153.0,443.6925048828125,7708.0,7732.0,11380.968179423984,72329.9973387654,1699701.6840554653,175.0,21964651837225.004,13,l13.txt,laptop
-1.8480224609375,796.5780472893636,3510.0,-3526.0,7036.0,796.5801909477485,5198151685.0,424.1409912109375,7903.0,7879.0,12987.005839641695,70910.14729823137,1513172.8964219303,172.0,21291745639265.0,14,l14.txt,laptop
-3.6612548828125,764.8142433166801,3425.0,-3440.0,6865.0,764.8230066933021,4791945065.0,397.7786865234375,7906.0,7883.0,13499.29901758356,67887.0745700585,1530120.4163105274,172.0,19628259809449.008,14,l14.txt,laptop
-11.8994140625,775.3713033736545,3290.0,-3304.0,6594.0,775.462606545532,4926195746.0,415.916015625,7919.0,7943.0,11401.730300135832,69254.26759160346,1447713.6874827072,171.0,20182448978194.004,14,l14.txt,laptop
6.13623046875,690.830786292067,3138.0,-2979.0,6117.0,690.8580379595227,3909917316.0,372.571044921875,1.0,25.0,13156.458706127672,61124.29660342467,1397032.3781052933,171.0,16016287551770.002,14,l14.txt,laptop
-2.0255126953125,646.3093235121033,3038.0,-2907.0,5945.0,646.3124974502284,3421960965.0,351.0504150390625,8.0,32.0,9549.362759517062,57705.883825536526,1325628.4533786601,171.0,14016489886445.002,14,l14.txt,laptop
-2.9542236328125,546.5215788615855,2301.0,-2470.0,4771.0,546.5295633345307,2446905865.0,301.1387939453125,23.0,1.0,7117.965178353627,48946.03953522932,1390733.0961353898,176.0,10022819738660.998,15,l15.txt,laptop
-6.9981689453125,525.0874672502181,2438.0,-2659.0,5097.0,525.1340996658244,2259073619.0,296.8973388671875,38.0,15.0,5695.053079742739,47185.69373177439,1312184.066885101,176.0,9254808852405.0,15,l15.txt,laptop
-0.0308837890625,511.99846472347883,2793.0,-2725.0,5518.0,511.99846565493516,2147470777.0,290.2271728515625,12.0,36.0,5674.320702929363,45986.397202756285,1306329.8024753032,176.0,8796040396901.003,15,l15.txt,laptop
-6.5556640625,499.39160918400216,2551.0,-2523.0,5074.0,499.43463641870846,2043371160.0,280.291015625,29.0,6.0,6214.47811621353,44772.812712016974,1298285.986938244,176.0,8371090761760.0,15,l15.txt,laptop
4.3818359375,506.386829215452,2709.0,-2642.0,5351.0,506.4057871796713,2100812360.0,280.4951171875,56.0,79.0,6180.469486313149,45412.09834451622,1280250.4588357871,176.0,8605571833768.0,15,l15.txt,laptop
-4.0565185546875,393.24989551958026,2140.0,-2179.0,4319.0,393.2708172099035,1266990577.0,233.4967041015625,50.0,73.0,6303.354104681882,35029.75767376484,1041078.4366975778,173.0,5190145953585.0,16,l16.txt,laptop
-6.07373046875,412.83668070426074,2042.0,-2104.0,4146.0,412.8813572162332,1396498556.0,255.098876953125,111.0,88.0,4418.583998239144,37107.088907016325,1093612.3498456134,175.0,5721296340186.001,16,l16.txt,laptop
-9.398681640625,514.9624317761832,2476.0,-2554.0,5030.0,515.0481932377027,2173129862.0,305.712158203125,77.0,5.0,7207.569997190636,46058.37502924228,1343990.860141841,173.0,8904104231028.004,16,l16.txt,laptop
-9.203857421875,442.6399492837459,2194.0,-2245.0,4439.0,442.7356273142691,1605753534.0,265.062255859375,78.0,101.0,5912.520769240996,39637.072652325165,1144405.6229962762,173.0,6580009097908.001,16,l16.txt,laptop
-3.2838134765625,456.5413682135938,2445.0,-2305.0,4750.0,456.553177977428,1707547069.0,270.9066162109375,17.0,136.0,7701.615294370322,40594.38414268243,1121022.1262704597,173.0,6994475841764.999,16,l16.txt,laptop
-3.8173828125,336.7695406162801,2124.0,-2099.0,4223.0,336.79117550559056,929204600.0,194.337158203125,23.0,0.0,6056.943507280133,29873.245544546215,757731.276593617,173.0,3806511900370.0005,17,l17.txt,laptop
7.4891357421875,375.6554221888172,2351.0,-2319.0,4670.0,375.73006716793833,1156489899.0,216.4322509765625,48.0,25.0,6786.619452174756,33325.79950261865,873775.8004823171,171.0,4738865174569.0,17,l17.txt,laptop
3.8133544921875,355.58808567251447,1957.0,-1934.0,3891.0,355.608532440838,1035939253.0,215.2806396484375,56.0,79.0,4487.646524795184,31869.523502114793,876478.5770231771,173.0,4243695131793.001,17,l17.txt,laptop
-5.116455078125,367.98179994472355,2154.0,-2149.0,4303.0,368.0173680726563,1109498128.0,214.79248046875,82.0,59.0,4862.2832604405685,32951.47831467917,876435.3339341893,171.0,4545382733508.0,17,l17.txt,laptop
-3.032470703125,386.6836450863859,2138.0,-2112.0,4250.0,386.69553560373487,1224977918.0,229.775634765625,101.0,124.0,4928.076954529229,34647.77582171889,986331.6009317973,173.0,5017818415698.001,17,l17.txt,laptop
-3.9210205078125,372.9585867220391,2312.0,-2111.0,4423.0,372.97919755868884,1139617643.0,198.5540771484375,4.0,28.0,5705.781722470311,33270.25028270042,975657.5839447253,174.0,4668390149149.001,18,l18.txt,laptop
-8.5751953125,355.2147532929806,2150.0,-2377.0,4527.0,355.3182445803207,1034248642.0,192.786376953125,31.0,8.0,4897.579189490308,31790.127186267884,970872.9161327147,174.0,4238749925184.0005,18,l18.txt,laptop
-6.3583984375,408.69468067194657,2708.0,-2721.0,5429.0,408.74413908976646,1368651950.0,205.27099609375,0.0,21.0,6567.296881503649,36407.68989026107,1034672.0973136475,174.0,5607356065234.0,18,l18.txt,laptop
-3.4150390625,380.88389454200194,2579.0,-2490.0,5069.0,380.899204007151,1188529796.0,201.147705078125,12.0,35.0,4824.798874442231,34132.924456140245,1019702.6891949937,174.0,4868609380392.002,18,l18.txt,laptop
-8.046875,420.3088109735879,2731.0,-2754.0,5485.0,420.3858332285912,1447725046.0,218.87158203125,31.0,8.0,5710.350833419033,37620.392477392124,1092792.6831228777,174.0,5932054644744.0,18,l18.txt,laptop
-7.6767578125,394.44791509338654,2290.0,-2336.0,4626.0,394.52261067273605,1275069156.0,205.560302734375,41.0,64.0,5594.209127802314,35269.611248250694,954166.6316518531,175.0,5224660956850.0,19,l19.txt,laptop
-19.447509765625,382.39017798753383,2027.0,-2083.0,4110.0,382.88438706406123,1200950918.0,211.35009765625,83.0,60.0,6763.348839269561,34029.58406030702,862896.762257799,173.0,4931786196803.999,19,l19.txt,laptop
-6.3438720703125,412.92905691412835,2327.0,-2372.0,4699.0,412.97778482242353,1397150931.0,216.5638427734375,70.0,93.0,5950.151061032764,36901.698795327946,1067816.188803757,174.0,5724081234669.0,19,l19.txt,laptop
-6.3748779296875,378.7364535386035,2106.0,-2143.0,4249.0,378.79010059347803,1175404055.0,202.4268798828125,71.0,94.0,5647.072841765059,33816.57461187708,1001693.6924027093,174.0,4815819265209.001,19,l19.txt,laptop
-8.7537841796875,425.49816168062364,2323.0,-2373.0,4696.0,425.5881980636384,1483778575.0,226.1107177734375,85.0,108.0,5274.710118293346,38160.46985173783,1085591.0942017247,174.0,6080128375084.999,19,l19.txt,laptop
-2.54443359375,443.49589553205647,2957.0,-2972.0,5929.0,443.5031944598525,1611326124.0,211.357177734375,13.0,36.0,5938.359458272785,39695.36169513552,1216798.2806203684,174.0,6600209040410.001,20,l20.txt,laptop
-0.722900390625,459.93119881090325,3025.0,-3042.0,6067.0,459.93176692267014,1732912990.0,229.6943359375,16.0,39.0,6883.362570209126,41050.136117511465,1285266.6045854448,174.0,7098029374644.001,20,l20.txt,laptop
-3.50634765625,464.4325131662071,3115.0,-3135.0,6250.0,464.44574899525736,1767095122.0,223.179931640625,5.0,29.0,7523.282223675383,41354.139329707024,1282786.8408780675,174.0,7238434628138.001,20,l20.txt,laptop
-3.0609130859375,417.5815386033839,2650.0,-2666.0,5316.0,417.5927568472531,1428551357.0,218.4461669921875,17.0,40.0,6401.127656000165,37246.54423401193,1262956.885245756,174.0,5851661081364.999,20,l20.txt,laptop
-4.7762451171875,479.2861600851647,3127.0,-3338.0,6465.0,479.30995792555944,1882013989.0,234.2640380859375,22.0,0.0,8587.50920960428,42520.54150912643,1100575.9616455408,173.0,7709496009789.0,20,l20.txt,laptop
-7.9969482421875,569.8380488947942,3759.0,-4071.0,7830.0,569.8941596028284,2660592461.0,256.6085205078125,31.0,8.0,8529.37232916905,50869.60527616234,1343290.7858722508,174.0,10899933025657.002,21,l21.txt,laptop
-8.8494873046875,641.583119019334,4438.0,-4608.0,9046.0,641.6441475117908,3372705481.0,285.5125732421875,31.0,8.0,10018.752519163707,57202.69557659611,1504424.8366333728,174.0,13817229940053.0,21,l21.txt,laptop
-5.7337646484375,607.8379503770246,4295.0,-4410.0,8705.0,607.8649932144357,3026942771.0,268.0150146484375,22.0,0.0,11151.514528373871,53871.30563550793,1415638.534088498,174.0,12399463351777.002,21,l21.txt,laptop
-3.310791015625,681.2582676467638,4789.0,-4916.0,9705.0,681.2663125197214,3802102076.0,294.097412109375,36.0,13.0,9887.701827184083,60856.3654691111,1694184.2174289844,174.0,15573778057090.004,21,l21.txt,laptop
-11.0518798828125,619.5841048693228,4301.0,-4483.0,8784.0,619.682666415371,3145782125.0,272.4957275390625,33.0,10.0,8764.024232537684,55400.420259516206,1485398.34096315,174.0,12889222167229.0,21,l21.txt,laptop
-9.9332275390625,628.0592581107813,4534.0,-4875.0,9409.0,628.1378039156757,3232211769.0,266.8316650390625,34.0,11.0,9107.695231959182,56118.45362954519,1300972.1801708986,173.0,13242450203009.002,22,l22.txt,laptop
-17.537841796875,574.8074025981836,4157.0,-4503.0,8660.0,575.0748872769202,2709185544.0,248.6328125,40.0,18.0,10721.416104121612,50951.88980326528,1238910.391188732,173.0,11107146603474.002,22,l22.txt,laptop
-2.15869140625,592.2547032387703,4567.0,-4450.0,9017.0,592.2586373004882,2873510244.0,259.185791015625,18.0,42.0,11218.359516187787,52411.79211121646,1293801.8857588344,174.0,11770056381801.998,22,l22.txt,laptop
-12.6405029296875,644.5977825775145,4977.0,-4784.0,9761.0,644.7217102115951,3405136557.0,274.0877685546875,20.0,44.0,12508.249520644198,57001.39072290232,1338071.6079784713,174.0,13952804042153.002,22,l22.txt,laptop
-14.9615478515625,694.6927544300178,5272.0,-5302.0,10574.0,694.8538486413381,3955276767.0,291.3233642578125,42.0,20.0,13326.185009050929,61469.978391376164,1457790.6227900959,173.0,16208327910009.0,22,l22.txt,laptop
-1.08203125,743.8746994394866,5377.0,-4846.0,10223.0,743.8754863939345,4533049256.0,369.98095703125,7.0,31.0,11616.076042466893,66310.02501278726,2016784.1067085306,174.0,18567409965346.0,23,l23.txt,laptop
-1.64990234375,664.204251407563,4653.0,-4385.0,9038.0,664.2063006066903,3614064720.0,330.946533203125,12.0,36.0,9046.897270079795,59425.23525054218,1752341.994465746,174.0,14803300617866.0,23,l23.txt,laptop
-5.22802734375,863.8478194573769,7269.0,-6059.0,13328.0,863.8636393848117,6113365094.0,396.337158203125,0.0,23.0,17003.154439806523,76308.52510815713,2139096.9654578953,174.0,25041266592058.008,23,l23.txt,laptop
-10.5626220703125,833.9740164663261,6834.0,-6270.0,13104.0,834.0409037487169,5698553685.0,381.4224853515625,40.0,16.0,15702.38413605535,73834.35789778989,2041393.061201844,174.0,23345022590493.0,23,l23.txt,laptop
-1.4630126953125,831.6450790152603,7186.0,-5973.0,13159.0,831.6463658649903,5665879473.0,380.9139404296875,6.0,29.0,14586.291663168768,73835.996101338,2019070.458675266,174.0,23207514778841.0,23,l23.txt,laptop
3.1773681640625,1108.2019322387425,8085.0,-7155.0,15240.0,1108.2064872063027,10060772297.0,461.8194580078125,44.0,19.0,20880.558836453776,98093.85031710814,2614543.5598277166,175.0,41209269746545.016,24,l24.txt,laptop
0.36083984375,1077.7706296772972,7668.0,-6575.0,14243.0,1077.7706900822598,9515742498.0,452.041748046875,3.0,26.0,19132.814445405482,95641.81894060307,2550701.2493041414,175.0,38976490421008.0,24,l24.txt,laptop
